RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R018717,Wing Chi Construction Engineering Company Limited,18831489,"Unit 02, 10/F, Ocean Building, 80, Shanghai Street, Yau Tsim Mong, Kowloon",27808332,27838282,wingchiconstruction@gmail.com,17 Jan 2024,16 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R018718,Deming Prodevelop Consultant Agency (China) Limited,65813856,"Flat F, 12/F, Kin Ho Industrial Building Block 2, 14-24, Au Pui Wan Street, Shatin, New Territories",52006400,35201181,deming.info5@gmail.com,17 Jan 2024,16 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R018728,"Kuan Tung Construction Co., Limited",68267806,"Flat B, 8/F, Mai On Industrial Building, 17, Kung Yip Street, Kwai Chung, N.T.",68747587,30206003,Kuantung2023@gmail.com,17 Jan 2024,16 Jan 2027,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R018754,Sun Union Construction Limited,74282995,"Room 525, 5/F, Hi- Tech Industrial Centre , Block B, 491-501, Castle Peak Road, Tsuen Wan, N.T.",60350188,,christychak@sununion.hk,7 Feb 2024,6 Feb 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R018764,Wah Chai Construction Limited,71624009,"Room 631, 6/F, Fu Lai House, Fu Shan Estate, Diamond Hill, Kowloon",51221450,28561007,wahchaicl@gmail.com,7 Feb 2024,6 Feb 2027,01.09 General Civil Works :: Earthwork | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.10 Other Finishing Trades and Components :: Miscellaneous work
R018835,Prosperity Global Engineering Company Limited,73083475,"Unit A1, 8/F, Yin Da Commercial Building, 181, Wai Yip Street, Kwun Tong, Kowloon",23170001,30200267,info@pga.com.hk,5 Apr 2024,4 Apr 2027,01.09 General Civil Works :: Earthwork | 02.10 Other Finishing Trades and Components :: Sports and playground equipment/surface | 02.10 Other Finishing Trades and Components :: Miscellaneous work
R018842,Yau Hei Engineering Co,11859290,"Room C, 20/F, Block 3, Chelsea Heights, 1, Shek Pai Tau Path, Tuen Mun, N.T.",94510938,34602045,yauheiengltd@outlook.com,5 Apr 2024,4 Apr 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R018885,Bridge Technologies (HK) Company Limited,68576883,"Unit 1, 19/F, Westley Square, No.48 , Hoi Yuen Road, Kwun Tong, Kowloon",93521692,30116822,bridgetechnologies17@gmail.com,24 Apr 2024,23 Apr 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works
R018892,Hong Kong Wiship International Trading Limited,69313957,"Room D, 18/F, Tower 2A, Seanorama, 1, Choi Sha Street, Ma On Shan, N.T.",51994797,,bdzhong1@hotmail.com,24 Apr 2024,23 Apr 2027,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 02.06 Tanking and Waterproofing
R018930,Hoishi Engineering Limited,75719450,"Flat E, 26/F, Mount Verdant, 48, Chui Ling Road, Tseung Kwan O, N.T.",68715788,,hoishi.engineering@gmail.com,16 May 2024,15 May 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R018934,Keen Shinning Limited,74350328,"Room 16, 13/F, New Commerce Centre, 19, On Sum Street, Shatin, N.T.",36223351,36189877,suki@luenhing.hk,16 May 2024,15 May 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R018942,Ho Cheung Civil Engineering Limited,67932046,"Room 906, 9/F, Lemmi Centre, 50, Hoi Yuen Road, Kwun Tong, Kowloon",39574386,,hocheung.commercial@gmail.com,16 May 2024,15 May 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.06 Tanking and Waterproofing | 03.21 Other E&M Trades :: Welding
R018962,Tung Lee Civil Engineering Limited,74130912,"Room 11, 17/F, Tuen Mun Central Square, 22, Hoi Wing Road, Tuen Mun, N.T.",96816887,,info@tledl.com,6 Jun 2024,5 Jun 2027,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R018983,Ming Shing Energy Engineering Company Limited,72262337,"Shop 12, G/F, Leung Choug Building, 2-44, Ping Fai Path, Yuen Long, N.T.",24431019,29441532,headoffice@mscecl.com,26 Jun 2024,25 Jun 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R019023,Good Luck Engineering Limited,76050780,"Flat/Rm 19, 7/F, Sino Industrial Plaza, 9, Kai Cheung Road, Kwun Tong, Kowloon",67050850,,rejaction@gmail.com,15 Jul 2024,14 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 04.04 Hoarding
R019082,Fu Kwok Engineering & Transportation Company Limited,69233927,"5/F, 45, Tung Choi Street, Yau Tsim Mong, Kowloon",26681795,26681796,fookwok@netvigator.com,7 Aug 2024,6 Aug 2027,01.09 General Civil Works :: Earthwork
R019102,Fu Tat Construction (Hong Kong) Limited,62328597,"Room C9, 6/F, Block 1, Camel Paint Building, 62, Hoi Yuen Road, Kwun Tong, Kowloon",93857570,34604296,futatltd@gmail.com,7 Aug 2024,6 Aug 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 04.04 Hoarding
R019122,Forestar Construction Limited,65089019,"Unit 21-22, 28/F, Asia Trade Centre, 79, Lei Muk Road, Kwai Tsing, N.T.",97398192,,jackielee308@gmail.com,4 Sep 2024,3 Sep 2027,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R019151,Successful Engineering Limited,75372783,"10/F, Sui Ying Industrial Building, No. 1, Yuk Yat Street, To Kwa Wan, Kowloon City, Kowloon",23886052,23886076,successfulengltd@gmail.com,30 Sep 2024,29 Sep 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 03.15 Plumbing | 04.05 Temporary Water Supply Installations
R019177,"Huali Construction Engineering Co., Limited",74182888,"Room 07, 17/F, iCITY , 111, Ta Chuen Ping Street, Kwai Chung, Kwai Tsing, NT",54220988,,huali.const@gmail.com,21 Oct 2024,20 Oct 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R019206,Chun Li Construction Limited,71773987,"Room C, 10/F, Superluck Industrial Centre, Stage II, 57, Sha Tsui Road, Tsuen Wan, N.T.",62229395,,chunlicon@gmail.com,21 Oct 2024,20 Oct 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R019211,Betula Prosperity (HK) Limited,74781664,"Room E1, 1/F, Hung Cheong Factory Building, 3, Kwong Cheung Street, Sham Shui Po, Kowloon",25559188,25556882,betula.prohk@gmail.com,21 Oct 2024,20 Oct 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R019226,Cobuild Engineering Limited,66359423,"Flat B, G/F, Mongkok House, 122, Argyle Street, Ho Man Tin, Yau Tsim Mong, Kowloon",96124466,27434625,cobuilde@gmail.com,11 Nov 2024,10 Nov 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R019237,Bo Win (Asia) Trading Limited,64791279,"No. 590, Ma Tin Tsuen, Shap Pat Heung Road, Yuen Long, N.T.",24790288,,mingchao@bokin.com.hk,11 Nov 2024,10 Nov 2027,01.09 General Civil Works :: Earthwork
R019346,Starus Construction Engineering Limited,74585402,"Room 1914-15, 19/F, Gala Place, 56, Dundas Street, Yau Tsim Mong, Kowloon",62246156,,starusconstruction@gmail.com,12 Feb 2025,11 Feb 2028,01.09 General Civil Works :: Earthwork
R019361,Kwok Shing Construction (HK) Limited,75503774,"Flat A, 6/F, Block 8, Yuet Wu Villa, Tuen Mun, N.T.",25548488,25548168,kwokshingconstruction@gmail.com,12 Feb 2025,11 Feb 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R019374,Wui Tong Construction Limited,77503815,"Unit 1218, 12/F, Corporation Square, No.8, Lam Lok Street, Kowloon Bay, Kwun Tong, Kowloon",51073535,,donaldwongkt@gmail.com,12 Feb 2025,11 Feb 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing
R019416,Kingsway Construction Engineering Company Limited,72929640,"Room A301, 3/F, Cheung Kong Factory Building, 6, Cheung Yee Street, Sham Shui Po, Kowloon",31704847,31112180,info@kswce.com,27 Mar 2025,26 Mar 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R019447,"Kam Ho Civil Engineering Co.,Limited",77198678,"Flat A39, 11/F, East Sun Industrial Centre, Block A, 16, Shing Yip Street, Kwun Tong, Kowloon",64891748,,kamho.co.ltd@gmail.com,11 Apr 2025,10 Apr 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R019578,Trend Civil Engineering Limited,77618161,"Room 501, 5/F, W212 , 212, Texaco Road, Tsuen Wan, NT",68785369,,trend.civileng@gmail.com,28 Jul 2025,27 Jul 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R019628,MCT Construction Company Limited,75437092,"Flat C2, 12/F, Block 2, Hang Fung Industrial Building, 2G, Hok Yuen Street, Kowloon City, Kowloon",21486683,27576903,info.mctconstruction@gmail.com,8 Sep 2025,7 Sep 2028,01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R019643,Great Hint Limited,64581523,"Room 1301, 13/F, China United Plaza , 1008, Tai Nan West Street, Sham Shui Po, Kowloon",31608999,36909710,info@greathintltd.com,8 Sep 2025,7 Sep 2028,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork
R019692,Practech Engineering Limited,78364612,"Flat E, 18/F, Block 10, Aldrich Garden, 2, Oi Lai Street, Shau Kei Wan, Eastern, Hong Kong",91417871,,admin@alliedwealthcel.com,6 Oct 2025,5 Oct 2028,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Trenchless Construction) | 04.04 Hoarding
R019729,CGC (Macau) Engineering Company Limited,74373738,"Room 2421-25, 24/F, Sun Hung Kai Centre, 30, Harbour Road, Wan Chai, Hong Kong",25119001,25800697,cgcmacau@cgchk.com.hk,23 Oct 2025,22 Oct 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works
R019734,Chitson Construction (Civil) Engineering Company Limited,78721678,"Office D, 12/F, Tower A, Billion Centre, No. 1, Wang Kwong Road, Kwun Tong, Kowloon",24490212,24493266,chitson.civil@gmail.com,23 Oct 2025,22 Oct 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R019774,Kanum Engineering Limited,77362261,"Shop 238, 2/F, King Wing Plaza 1, 3, On Kwan Street, Shatin, N.T.",67738192,,kanuminfo@gmail.com,9 Dec 2025,8 Dec 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 02.10 Other Finishing Trades and Components :: Miscellaneous work
R019964,Skyrise Construction & Engineering Company Limited,18614495,"Flat 20, 3/F, Kinetic Industrial Centre, 7, Wang Kwong Road, Kowloon Bay, Kwun Tong, Kowloon",31884670,21160504,info@skyrisedemolition.com,20 Apr 2026,19 Apr 2029,01.09 General Civil Works :: Earthwork | 03.10 Lift and Escalators :: Lifts mechanical fitting | 04.04 Hoarding | 04.08 Miscellaneous Cleaning Services
R019974,HK Zhonghang (Int'l) Construction Engineering Limited,68770433,"Room 18-19, 13/F, Hollywood Plaza, 610, Nathan Road, Yau Tsim Mong, Kowloon",84314745,,xgzh@chinazh.net,20 Apr 2026,19 Apr 2029,01.09 General Civil Works :: Earthwork
R019991,ACR Construction Company Limited,79855624,"Room 625, 6/F, My Loft, 9, Hoi Wing Road, Tuen Mun, New Territories",97782883,,info@acr-hk.com,5 May 2026,4 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R019997,Goldlink Construction Engineering Limited,31357325,"Unit 12B, 16/F, BEA Tower of Millennium, City 5, 418, Kwun Tong Road, Kwun Tong, Kowloon",26159554,,goldlink@hotmail.com.hk,5 May 2026,4 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R020009,Tapbo Environmental Limited,69057999,"Unit 3, 12/F, Yee Kuk Industrial Centre, 555, Yee Kuk Street, Sham Shui Po, Kowloon",27414851,27457573,Tapbo@tapbo.com.hk,28 May 2026,27 May 2029,01.09 General Civil Works :: Earthwork
R020024,Wang Lok Construction Engineering Limited,77145560,"Unit 12B, 16/F, BEA Tower , Millennium City 5, 418 , Kwun Tong Road, Kwun Tong, Kowloon",93800509,,wanglokengr@gmail.com,28 May 2026,27 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork
R000259,Fraternity Engineering Limited,31729669,"Room 609-610, 6/F, Delta House, 3, On Yiu Street, Shatin, New Territories",92212242,23102090,andrewto@mingkeeco.com,30 Apr 2026,29 Apr 2029,01.09 General Civil Works :: Roadworks
R000260,Ming Kee Company Limited,19387415,"Room 609-610, 6/F, Delta House, Siu Lek Yuen, 3 , On Yiu Street, Shatin, New Territories",26370666,23102090,andrewto@mingkeeco.com,30 Apr 2026,29 Apr 2029,01.09 General Civil Works :: Roadworks
R000261,Ming Kee Asphalt Engineering Limited,12576950,"Room 609-610, 6/F, Delta House, 3, On Yiu Street, Shatin, New Territories",92212242,23102090,andrewto@mingkeeco.com,30 Apr 2026,29 Apr 2029,01.09 General Civil Works :: Roadworks
R000306,Yue Yau Engineering Limited,14422367,"Flat A, 17/F, Silvercorp International Tower, 707-713, Nathan Road, Yau Tsim Mong, Kowloon",28910282,28910209,yyltd@yueyau.com,19 May 2026,18 May 2029,"01.09 General Civil Works :: Roadworks | 01.10 Other Structural and Civil Trades | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.15 Plumbing | 03.21 Other E&M Trades"
R000376,Chong Kee Construction Co Ltd,06719340,"Unit D, 22/F, Mai On Industrial Building, 19-21, Kung Yip Street, Kwai Chung, Kwai Tsing, NT",35425736,35425737,chongkee1980@yahoo.com.hk,19 May 2026,18 May 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 02.10 Other Finishing Trades and Components :: Glazier work
R000379,Pioneer Asphalts (Hong Kong) Limited,16483177,"3/F, Well Industrial Building, 21-23, Lam Tin Street, Kwai Tsing, N.T.",27448223,23109791,Patrick@asphaltsurfaces.com,19 May 2026,18 May 2029,01.09 General Civil Works :: Roadworks
R000422,Freyssinet Hong Kong Ltd,03611266,"Unit 705-6, 7/F, Tower 1, Cheung Sha Wan Plaza, 833, Cheung Sha Wan Road, Sham Shui Po, Kowloon",27940322,23383264,info@freyssinet.com.hk,17 Jun 2026,16 Jun 2029,01.02 Foundation and Piling :: Others(Ground Anchor) | 01.09 General Civil Works :: Roadworks | 01.10 Other Structural and Civil Trades :: Pre-stressing system | 01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 01.10 Other Structural and Civil Trades :: Others(CCTV Inspection on Underground Drainage Pipes) | 01.10 Other Structural and Civil Trades :: Others(Grouting Works) | 01.10 Other Structural and Civil Trades :: Others(Supply and Installation of Bearings for Highway Structures)
R000556,Kin Ching Construction Products Limited,31523368,"Unit B, 21/F, Prince Industrial Building, 706, Prince Edward Road East, San Po Kong, Kowloon",23988577,23988599,kcbp@kcbprogress.com.hk,21 Jul 2023,20 Jul 2026,01.09 General Civil Works :: Roadworks | 02.06 Tanking and Waterproofing
R000562,Wing Hing Construction Company Limited,22300622,"Unit 2202A, 22/F, Ginza Square, 565-567, Nathan Road, Yau Tsim Mong, Kowloon",22860106,24592297,admin@whconst.com.hk,21 Jul 2026,20 Jul 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R000563,Asphalt Surfaces (International) Limited,17939886,"3/F, Well Industrial Building, 21-23, Lam Tin Street, Kwai Tsing, N.T.",27448223,23109791,julian@asphaltsurfaces.com,21 Jul 2023,20 Jul 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Others(Supply of Bituminous Pavement Materials and Construction of Special Bituminous Surfacing) | 01.09 General Civil Works :: Others(Trenchless Construction)
R000754,Tug Link Trading And Engineering Services Limited,18020890,"Room 2, 19/F, Waga Commercial Centre, 99, Wellington Street, Central and Western, Hong Kong",25419519,28153811,tuglink@biznetvigator.com,7 Oct 2021,6 Oct 2026,01.09 General Civil Works :: Roadworks | 02.10 Other Finishing Trades and Components :: Signage and graphics | 04.04 Hoarding
R000757,Anderson Asphalt Limited,05193963,"12/F, Cheung Kong Centre, 2, Queen's Road Central, Central, Hong Kong",26868222,26373558,aal@gich.com.hk,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Roadworks
R000939,Friendly Benefit Engineering Limited,18314481,"Room 11, 39/F, Hong Kong Plaza, 188, Connaught Road West, Central and Western, Hong Kong",28037398,28037078,fbel@gzsalvage.cn,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works
R000981,K. Wah Asphalt Limited,05564772,"DD88, Lot 20 R.P., 21 & 23 R.P.(Part), Man Kam To Road, Sheung Shui, N.T.",23230296,23290926,sykwok@kwcml.com,3 Nov 2023,2 Nov 2026,01.09 General Civil Works :: Roadworks
R001107,Wui Yip Asphalt (H.K.) Limited,32555467,"Room 1004, 10/F, Xing Hau Centre, 433, Shanghai Street, Yau Tsim Mong, Kowloon",26093553,26094225,wycel@wuiyip.com.hk,3 Nov 2023,2 Nov 2026,01.09 General Civil Works :: Roadworks
R001150,Honour Construction Co Ltd,10569466,"G/F, 13, Ha Kwai Chung Village, Tsuen Wan, N.T.",94608294,,honour779@yahoo.com.hk,3 Nov 2021,2 Nov 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001209,Wang Kee Construction Company Limited,19437438,"Room 02-03, 15/F, Kowloon Plaza, 485, Castle Peak Road, Lai Chi Kok, Kowloon",26058890,26055655,wkccl@biznetvigator.com,3 Nov 2023,2 Nov 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001212,Maylon Construction Company Limited,03304396,"22/F, Supreme Commercial Building, 368, King's Road, North Point, Hong Kong",22641208,22641033,chiu_ling_hk@hotmail.com,3 Nov 2023,2 Nov 2026,01.09 General Civil Works | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001316,Gold Wilson International Limited,17771496,"Room 1, 10/F, Elite Centre, 22, Hung To Road, Kwun Tong, Kowloon",21110861,27637595,info@goldwilson.com,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Road Marking)
R001319,Grandway Construction Engineering Limited,31136997,"175, Kam Tin Road, Yuen Long, N.T.",27840109,26909993,info@grandwayconstruction.com.hk,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001383,Leighton Infrastructure Limited,18787991,"39/F, Sun Hung Kai Centre, 30, Harbour Road, Hong Kong",28231111,25298784,alfred.leung@leightonasia.com,14 Dec 2023,13 Dec 2026,01.09 General Civil Works | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Pipe Jacking) | 03.05 E & M Installation for Sewage Treatment
R001703,Wing Fuk Engineering Company Limited,32267783,"Room 710, 7/F, Fuk Shing Commercial Building, 28, On Lok Mun Street, Fanling, New Territories",26143723,26142606,ckyp@ymail.com,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks) | 04.04 Hoarding
R001770,Kinsway Construction Company Limited,15853167,"Room 1311, 13/F, Profit Industrial Building, 1-15, Kwai Fung Crescent, Kwai Chung, N.T.",24192808,24192438,general@kinsway.com.hk,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.10 Other Structural and Civil Trades :: Concrete repair
R002041,Mak Hang Kei (Hong Kong) Construction Limited,14482048,"Flat 9-13, 39/F, One Midtown, 11, Hoi Shing Road, Tsuen Wan, N.T.",26363381,26363377,idy@mhkgroup.com,31 Mar 2025,30 Mar 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 03.04 Electrical :: Electrical control and power panel assembly | 03.09 Industrial Type Electrical Installation
R002163,China National Chemical Engineering Group Corporation Limited,20195479,"Suite 2308-9, 23/F, Two Chinachem Exchange Square, No.338, King's Road, Hong Kong",25720246,28939569,cncechk@biznetvigator.com,25 May 2024,24 May 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R002175,Excellent Dragon Limited,18867989,"Room 711, 7/F, Fuk Shing Commerical Building, 28, On Lok Mun Street, Fanling, N.T.",27204896,27082456,wcb12hy@yahoo.com.hk,25 May 2024,24 May 2027,01.09 General Civil Works :: Roadworks | 01.10 Other Structural and Civil Trades
R002489,Hop Tai Construction Co Ltd,04122339,"2/F, Comfort Court, 17, Playing Field Road, Yau Tsim Mong, Kowloon",23818360,23974407,htccl@netvigator.com,11 Aug 2025,10 Aug 2028,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002689,Harvest Civil Engineering Company Limited,30391558,"Room 1005, 10/F, Shing Chuen Industrial Building, 25-27, Shing Wan Road, Shatin, New Territories",26988128,26600885,main@harvestcivil.com.hk,11 Jan 2026,10 Jan 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R002742,Po Wing H P Drainpipe & Construction Company Limited,10633984,"Room 508, 5/F, Fook Hong Industrial Building, 19, Sheung Yuet Road, Kwun Tong, Kowloon",23460188,27727323,info@powing.com.hk,17 Mar 2026,16 Mar 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Lining Works ) | 01.10 Other Structural and Civil Trades :: Others(CCTV Survey on drainage system) | 01.10 Other Structural and Civil Trades :: Others(High Pressure Water Jetting of Drainage System)
R002859,Granhold Civil Engineering Limited,33375630,"Room 01, 11/F, Kin Wing Industrial Building, 33, Kin Wing Street, Tuen Mun, NT",24684489,24657288,hr_granhold@yahoo.com,19 Jun 2026,18 Jun 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002889,Chung Shing Construction Co Ltd,03782817,"Room 1301, 13/F, Peninsula Square, 18, Sung On Street, Hung Hom, Kowloon City, Kowloon",27139178,27154300,chshing1301@gmail.com,19 Jun 2026,18 Jun 2029,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 03.04 Electrical :: Electrical control and power panel assembly
R002930,Welcome Engineering Company Limited,15208631,"Unit 1, 19/F, Westley Square, No.48, Hoi Yuen Road, Kowloon",93521692,30116822,wecl0301@outlook.com,16 Aug 2023,15 Aug 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002982,Tin Fung Engineering Company Limited,33458058,"Room 10, 3/F, Fuk Shing Commerical Building, 28, On Lok Mun Street, Fanling, N.T.",26690666,26757586,ivy.06hy2017@gmail.com,29 Sep 2021,28 Sep 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003030,Luen Fat Engineering & Construction Company Limited,12502117,"1/F, 64, San Hong Street, North, N.T.",26688580,26683826,luenfat@gmail.com,29 Oct 2024,28 Oct 2027,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003071,Tsun Yip Waterworks Construction Company Limited,19634701,"Unit M & N, 8/F, Hi-Speed Centre 1, 18, On Chuen Street, North, N.T.",23582888,26334691,info@tsunyip.hk,29 Oct 2023,28 Oct 2026,01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R003098,Sun Kong Construction & Development Limited,35404027,"Room 305, 3/F, Fung Yue House Block A, Sui Wo Court, 5, Sui Wo Road, Shatin, NT",27546993,27546997,sunkongconstruction@yahoo.com.hk,1 Dec 2026,30 Nov 2029,01.09 General Civil Works :: Roadworks
